TOI,,TESS Disposition,TFOPWG Disposition,t0,t0_err,period,p_err,radius,r_err,st_mass,ecc,e_err,mass,m_err,inc,i_err,multi,Comments
824,1,CP,CP,2459334.698,0.001026181,1.392974999,3.37E-06,3.050413301,0.9649343,0.7,0,0,,,89,0.2,0,TOI-824b (Burt et al 2020)
836,1,CP,CP,2459356.164,0.0014976,8.5954792,0.0000305,2.64032,0.246702,0.66,0,0,,,89,0.2,1,TOI 836.01; multi
837,1,CP,CP,2459356.814,0.0005004,8.3249309,0.0000083,7.59991,0.506249,1.15,0,0,,,89,0.2,0,validated planet (Bouma+2020)
905,1,CP,CP,2459365.045,0.000349551,3.739568775,1.28E-06,14.00819283,0.7335234,0.93,0,0,,,89,0.2,0,TOI-905 b
1054,1,CP,CP,2458664.971,0.001819049,15.5077301,0.00010974,3.054768608,0.41549346,1.14,0,0,,,89,0.2,0,VPC; Potential level one candidate; check neighbor 366989874
1055,1,CP,CP,2458661.063,0.00083868,17.47128808,6.84E-05,3.437102953,0.40131655,1.04,0,0,,,89,0.2,0,HD 183579 b
1073,1,CP,CP,2459036.473,0.001292809,3.922801611,1.22E-05,13.33687048,0.4312808,0.69,0,0,,,89,0.2,0,HATS-47 b
1078,1,CP,CP,2458654.105,0.000387546,0.518238462,4.56E-06,1.140383318,0.71007156,0.381272,0,0,,,89,0.2,0,GJ 1252 b
1098,1,CP,CP,2458629.909,0.001115397,10.18269818,4.84E-05,3.130696859,0.59937096,1.29,0,0,,,89,0.2,0,HD 110082 b
1181,1,CP,CP,2459693.939,0.000563342,2.1031942,0.0000004,16.6265,0.744645,1.16,0,0,,,89,0.2,0,TOI-1181 b
1203,1,CP,CP,2458553.062,0.00300051,25.51953069,0.003968804,2.964146098,0.27015966,1.03,0,0,,,89,0.2,0,validated planet
1233,1,CP,CP,2459308.481,0.002133832,14.17589473,3.70E-05,2.623164132,0.70052356,1.02,0,0,,,89,0.2,1,HD 108236 d / TOI-1233.01
1233,2,CP,CP,2459311.403,0.002111286,19.59015781,4.38E-05,3.00264281,0.43376216,1.02,0,0,,,89,0.2,1,HD 108236 e/TOI 1233.02
1233,3,CP,CP,2459310.633,0.002245718,6.203621886,1.97E-05,2.056748024,0.8290422,1.02,0,0,,,89,0.2,1,HD 108236 c / TOI 1233.03
1233,4,CP,CP,2458572.108,0.001458129,3.795889971,2.11E-05,1.553134989,1.950819,1.02,0,0,,,89,0.2,1,HD 108236 b / 1233.04
1235,1,CP,CP,2459603.354,0.0015955,3.4446942,0.0000125,1.75466,0.075624,0.611578,0,0,,,89,0.2,0,TOI-1235 b
1239,1,CP,CP,2459604.096,0.0012757,12.6397081,0.0000272,4.84935,0.283989,0.888,0,0,,,89,0.2,0,TESS validated planet; variable host star
1255,1,CP,CP,2459699.968,0.0010598,10.2889139,0.0000212,2.5496,0.170096,0.86,0,0,,,89,0.2,0,HIP 97166 b / TOI 1255 b
1259,1,CP,CP,2459695.314,0.000242994,3.4779796,0.0000005,13.4443,0.954719,0.751,0,0,,,89,0.2,0,TOI-1259 A b
1260,1,CP,CP,2459634.761,0.0039029,3.1274448,0.000025,3.012643153,0.3481669,0.66,0,0,,,89,0.2,1,TOI-1260 b / TOI-1260.01
1260,2,CP,CP,2458686.115,0.001261326,7.493216104,2.45E-05,2.790324423,1.3839281,0.66,0,0,,,89,0.2,1,TOI-1260 c / TOI 1260.02
1266,1,CP,CP,2459617.068,0.00260445,10.89485983,1.95E-05,2.498810563,0.27449733,0.431082,0,0,,,89,0.2,1,TOI-1266 b / TOI 1266.01
1266,2,CP,CP,2459611.249,0.003085513,18.80153157,9.41E-05,1.887642793,0.30477247,0.431082,0,0,,,89,0.2,1,TOI-1266 c / TOI 1266.02
1268,1,CP,CP,2459658.044,0.0002133,8.1577318,0.0000035,9.31728,0.554994,0.87,0,0,,,89,0.2,0,TOI-1268 b / TOI-1268.01
1296,1,CP,CP,2459656.52,0.000368,3.9443709,0.0000022,14.9312,0.806773,0.963,0,0,,,89,0.2,0,TOI-1296 b / TOI-1296.01
1298,1,CP,CP,2459696.364,0.001374777,4.5371434,0.0000033,10.0571,0.493476,1.02,0,0,,,89,0.2,0,TOI-1298 b (Moutou+2021)
1338,1,CP,CP,2458579.043,0.005102402,95.2,0,7.84988908,0.7399995,1.02,0,0,,,89,0.2,0,period confirmed 95.2 days (Veselin B. Kostov et al 2020); TOI-1338 b; circumbinary planet
1339,1,CP,CP,2459709.952,0.0008052,8.8803237,0.000011,3.54471,0.20449,0.95,0,0,,,89,0.2,1,HD 191939 b / TOI 1339; multiplanet system
1339,2,CP,CP,2458726.056,0.000727887,28.57967272,7.90E-05,3.032416282,0.25556034,0.95,0,0,,,89,0.2,1,HD 191939 c / TOI 1339.02
1339,3,CP,CP,2458743.551,0.001152494,38.35353226,0.000149315,3.170108068,0.19088635,0.95,0,0,,,89,0.2,1,HD 191939 d
1411,1,CP,CP,2459715.251,0.0016772,1.4520464,0.0000036,1.4286,0.143907,0.65,0,0,,,89,0.2,0,TOI-1411 b / TOI-1411.01
